,site,lat,lon,alt
0,armazones,-24.59,-70.192,3046
1,cambridge_ma,42.374,-71.111,8
2,cambridge_uk,52.17,0.059,11
3,chajnantor,-22.946,-67.777,5107
4,green_bank,38.43,-79.84,807
5,kolkata,22.579,88.361,6
6,mauna_kea,19.823,-155.475,4205
7,mount_graham,32.702,-109.89,3178
8,munich,48.135,11.582,520
9,murchison,-26.703,116.671,395
10,narrabri,-30.313, 149.550,237
11,ngari,32.33,80.03,5176
12,northern_cape,-30.721,21.411,1075
13,owens_valley,37.232,-118.295,1222
14,pachon,-30.245,-70.749,2663
15,princeton,40.344,-74.661,62
16,socorro,34.1,-107.6,2120
17,south_pole,-89.0,0.0,2800
18,greenland,72.579,-38.46,3126
19,teide,28.3,-16.51,2390
